Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57007401,"Dating Dr. Dil (If Shakespeare Was an Auntie, #1)",Nisha Sharma,"Sharma, Nisha",,0063001101,9780063001107,4,3.67,Avon,Paperback,364,2022,2022,,17/02/2023,,,read,,,,1,0
59339681,"What Lies Beyond the Veil (Of Flesh & Bone, #1)",Harper L. Woods,"Woods, Harper L.",,,,0,3.76,,Kindle Edition,419,2022,2022,,14/02/2023,to-read,to-read (#303),to-read,,,,0,0
60306208,A Million Kisses in Your Lifetime,Monica  Murphy,"Murphy, Monica",,,9781945522291,0,3.89,EM Publishing,Paperback,552,2022,2022,,10/02/2023,to-read,to-read (#302),to-read,,,,0,0
61896624,"Imogen, Obviously",Becky Albertalli,"Albertalli, Becky",,0063045877,9780063045873,0,4.53,Balzer & Bray/Harperteen,Hardcover,432,2023,2023,,26/01/2023,to-read,to-read (#301),to-read,,,,0,0
58100280,The Cheat Sheet,Sarah       Adams,"Adams, Sarah",,,,3,3.75,,Kindle Edition,306,2021,2021,,15/01/2023,,,read,,,,1,0
43798285,The Institute,Stephen King,"King, Stephen",,,,4,4.2,Scribner,Hardcover,561,2019,2019,,03/01/2023,,,read,,,,1,0
59513138,"Violet Made of Thorns (Violet Made of Thorns, #1)",Gina Chen,"Chen, Gina",,059342753X,9780593427538,0,3.63,Delacorte Press,Hardcover,368,2022,2022,,02/01/2023,to-read,to-read (#300),to-read,,,,0,0
58210340,"Only a Monster (Monsters, #1)",Vanessa Len,"Len, Vanessa",,,,0,3.91,HarperTeen,Hardcover,416,2022,2022,,02/01/2023,to-read,to-read (#299),to-read,,,,0,0
32855079,Sometime After Midnight,L.  Philips,"Philips, L.",,,,4,3.74,Viking Books for Young Readers,Hardcover,385,2018,2018,,24/01/2022,,,read,,,,1,0
58437812,She Gets the Girl,Rachael Lippincott,"Lippincott, Rachael",Alyson Derrick,1534493794,9781534493797,4,4.18,Simon & Schuster Books for Young Readers,Hardcover,384,2022,2022,,07/12/2022,,,read,,,,1,0
13552764,The Interrogation of Ashala Wolf (The Tribe #1),Ambelin Kwaymullina,"Kwaymullina, Ambelin",,1921720085,9781921720086,4,3.8,Walker Books Australia,Paperback,395,2012,2012,,10/11/2022,,,read,,,,1,0
44084186,Take a Chance on Me,Beth Garrod,"Garrod, Beth",,,,3,3.8,Scholastic,Paperback,,2019,2019,,06/04/2020,,,read,,,,1,0
39297951,We Are Totally Normal,Rahul Kanakia,"Kanakia, Rahul",,,,0,2.65,Harper Teen,Kindle Edition,288,2020,2020,,06/11/2022,to-read,to-read (#298),to-read,,,,0,0
50022883,"Defy the Night (Defy the Night, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,1547604670,9781547604678,4,4.2,Bloomsbury YA,ebook,448,2021,2021,,23/12/2021,,,read,,,,1,0
56980548,"Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante, #2)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,153449619X,9781534496194,4,4.15,Simon  Schuster Books for Young Readers,Hardcover,516,2021,2021,,25/10/2022,,,read,,,,1,0
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,1442408928,9781442408920,4,4.33,Simon & Schuster Books for Young Readers,Hardcover,390,2012,2012,,12/05/2019,,,read,,,,1,0
52252715,Women Don't Owe You Pretty,Florence Given,"Given, Florence",,,,0,3.78,Cassell,Kindle Edition,193,2020,2020,,26/09/2022,to-read,to-read (#297),to-read,,,,0,0
56692357,Some Girls Do,Jennifer Dugan,"Dugan, Jennifer",,,,4,3.74, G.P. Putnam's Sons Books for Young Readers ,Kindle Edition,336,2021,2021,,24/05/2022,,,read,,,,1,0
60017811,"City of Nightmares (City of Nightmares, #1)",Rebecca Schaeffer,"Schaeffer, Rebecca",,0358647304,9780358647300,0,3.89,Clarion Books,Hardcover,384,2023,2023,,07/09/2022,to-read,to-read (#296),to-read,,,,0,0
