Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
57007401,"Dating Dr. Dil (If Shakespeare Was an Auntie, #1)",Nisha Sharma,"Sharma, Nisha",,0063001101,9780063001107,4,3.67,Avon,Paperback,364,2022,2022,,17/02/2023,,,read,,,,1,0,"2023-02-15,2023-02-17",Romance|1752;Physical Tbr|565;Contemporary|348;2022 Reads|273;Contemporary Romance|255;Enemies To Lovers|242;Botm|230;2022 Releases|199;Fiction|195;Fake Dating|174;Read In 2022|171;Adult|168;Book Of The Month|129;Read 2022|123;2022 Books|120;Audiobooks|116;Rom Com|108;Chick Lit|98;Romcom|79;Series|72,41395
59339681,"What Lies Beyond the Veil (Of Flesh & Bone, #1)",Harper L. Woods,"Woods, Harper L.",,,,0,3.76,,Kindle Edition,419,2022,2022,,14/02/2023,to-read,to-read (#303),to-read,,,,0,0,,Fantasy|1225;Romance|326;Kindle Unlimited|317;Physical Tbr|284;Fae|249;Fantasy Romance|236;Series|118;Ku|102;Spicy|86;Adult|84;2022 Reads|64;Read In 2022|64;Wishlist|59;Enemies To Lovers|58;Booktok|58;Magic|55;Paranormal|55;Fantasy Tbr|55;New Adult|52;2022 Releases|52,27294
60306208,A Million Kisses in Your Lifetime,Monica  Murphy,"Murphy, Monica",,,9781945522291,0,3.89,EM Publishing,Paperback,552,2022,2022,,10/02/2023,to-read,to-read (#302),to-read,,,,0,0,,Physical Tbr|663;Romance|593;RomancÃ©|592;Enemies To Lovers|360;Kindle Unlimited|290;2022 Reads|174;Contemporary|166;High School|160;Want To Buy|124;Contemporary Romance|123;Read In 2022|117;Wishlist|116;New Adult|111;Read 2022|99;Booktok|91;Spicy|88;Grumpy Sunshine|88;Ku|80;Books I Have|75;Young Adult|73,75813
61896624,"Imogen, Obviously",Becky Albertalli,"Albertalli, Becky",,0063045877,9780063045873,0,4.53,Balzer & Bray/Harperteen,Hardcover,432,2023,2023,,26/01/2023,to-read,to-read (#301),to-read,,,,0,0,,2023 Releases|158;Young Adult|68;Lgbtq|65;Contemporary|63;Romance|57;Ya|47;Lgbtqia|42;Queer|41;Sapphic|39;Lgbt|32;Wishlist|28;Unreleased|24;Arcs|18;Fiction|17;To Be Released|16;Wlw|15;2023 Tbr|15;2023 Release|15;Not Out Yet|15;Anticipated Releases|14,175
58100280,The Cheat Sheet,Sarah       Adams,"Adams, Sarah",,,,3,3.75,,Kindle Edition,306,2021,2021,,15/01/2023,,,read,,,,1,0,"2023-01-14,2023-01-15",Romance|2793;Friends To Lovers|963;Physical Tbr|689;Fake Dating|611;Sports Romance|604;Contemporary|502;Sports|418;2022 Reads|354;Contemporary Romance|326;Read In 2022|263;Rom Com|211;Fiction|202;Kindle Unlimited|189;Adult|169;Audiobooks|168;Read 2022|166;Wishlist|165;2022 Books|145;Want To Buy|137;2021 Reads|135,132088
43798285,The Institute,Stephen King,"King, Stephen",,,,4,4.2,Scribner,Hardcover,561,2019,2019,,03/01/2023,,,read,,,,1,0,"2022-12-31,2023-01-02",Horror|3758;Stephen King|2395;Fiction|2049;Thriller|1474;Science Fiction|760;Sci Fi|736;Fantasy|644;Audiobooks|571;Physical Tbr|448;Mystery|415;King|380;Audio|354;Paranormal|308;Mystery Thriller|276;Read In 2020|257;Read In 2019|256;Audible|246;Adult|244;Wishlist|213;Suspense|207,228435
59513138,"Violet Made of Thorns (Violet Made of Thorns, #1)",Gina Chen,"Chen, Gina",,059342753X,9780593427538,0,3.63,Delacorte Press,Hardcover,368,2022,2022,,02/01/2023,to-read,to-read (#300),to-read,,,,0,0,,Fantasy|1311;Young Adult|429;Physical Tbr|417;2022 Releases|402;Romance|354;Ya|288;Fairyloot|233;Ya Fantasy|148;Owlcrate|133;Enemies To Lovers|126;Owned Tbr|114;Fiction|108;Series|107;Magic|103;Retellings|100;Wishlist|96;2022 Reads|85;Arcs|80;Read In 2022|70;Owned Books|66,10686
58210340,"Only a Monster (Monsters, #1)",Vanessa Len,"Len, Vanessa",,,,0,3.91,HarperTeen,Hardcover,416,2022,2022,,02/01/2023,to-read,to-read (#299),to-read,,,,0,0,,Fantasy|1776;Young Adult|749;2022 Releases|528;Physical Tbr|460;Ya|459;Romance|369;Fairyloot|263;Ya Fantasy|219;Paranormal|215;Series|205;Urban Fantasy|189;Wishlist|180;Owlcrate|175;Fiction|150;Time Travel|142;Owned Tbr|139;Read In 2022|129;2022 Reads|124;Horror|100;Enemies To Lovers|96,17080
32855079,Sometime After Midnight,L.  Philips,"Philips, L.",,,,4,3.74,Viking Books for Young Readers,Hardcover,385,2018,2018,,24/01/2022,,,read,,,,1,0,"2022-12-21,2022-12-23",Lgbt|111;Lgbtq|109;Romance|108;Young Adult|100;Contemporary|87;Ya|65;Retellings|32;Queer|28;Fiction|24;Music|23;M M|21;Lgbtqia|21;2018 Releases|18;Gay|14;Wishlist|13;Queer Books|10,1611
58437812,She Gets the Girl,Rachael Lippincott,"Lippincott, Rachael",Alyson Derrick,1534493794,9781534493797,4,4.18,Simon & Schuster Books for Young Readers,Hardcover,384,2022,2022,,07/12/2022,,,read,,,,1,0,"2022-12-05,2022-12-06",Lgbtq|876;Romance|843;Sapphic|663;Lgbt|552;Queer|487;Young Adult|485;Contemporary|436;Physical Tbr|413;RomancÃ©|390;Lgbtqia|369;Ya|356;Wlw|330;2022 Releases|304;Fiction|214;Wishlist|168;2022 Reads|150;Read In 2022|148;Gay|106;Read 2022|103;Audiobooks|102,28893
13552764,The Interrogation of Ashala Wolf (The Tribe #1),Ambelin Kwaymullina,"Kwaymullina, Ambelin",,1921720085,9781921720086,4,3.8,Walker Books Australia,Paperback,395,2012,2012,,10/11/2022,,,read,,,,1,0,"2022-11-11,2022-11-17",Young Adult|192;Fantasy|156;Ya|114;Dystopia|108;Dystopian|99;Science Fiction|66;Sci Fi|51;Fiction|45;Australian|38;Series|32;Romance|30;Indigenous|25;Australia|25;Paranormal|25;Wishlist|17;Speculative Fiction|15;Magic|14;Loveozya|12;Diversity|12;Ya Fantasy|11,2351
44084186,Take a Chance on Me,Beth Garrod,"Garrod, Beth",,,,3,3.8,Scholastic,Paperback,,2019,2019,,06/04/2020,,,read,,,,1,0,"2022-11-06,2022-11-10",Young Adult|11,246
39297951,We Are Totally Normal,Rahul Kanakia,"Kanakia, Rahul",,,,0,2.65,Harper Teen,Kindle Edition,288,2020,2020,,06/11/2022,to-read,to-read (#298),to-read,,,,0,0,,Lgbtq|214;Lgbt|164;Young Adult|147;Contemporary|127;Romance|117;Ya|111;2020 Releases|97;Lgbtqia|81;Queer|79;Fiction|44;Read In 2020|23;Audiobooks|21;Mlm|20;Gay|19;Lgbtqiap|17;M M|17;Ya Contemporary|17;Arcs|16;2020 Release|16;Wishlist|16,3119
50022883,"Defy the Night (Defy the Night, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,1547604670,9781547604678,4,4.2,Bloomsbury YA,ebook,448,2021,2021,,23/12/2021,,,read,,,,1,0,"2022-11-04,2022-11-06",Fantasy|2290;Physical Tbr|812;Young Adult|704;Romance|479;Ya|400;2021 Releases|288;Series|256;Ya Fantasy|238;Fairyloot|212;Fiction|175;Owned Tbr|144;Enemies To Lovers|142;Wishlist|137;2022 Reads|127;Retellings|115;Fantasy Tbr|112;Owned Books|107;Fantasy Romance|105;Read In 2022|87;Read In 2021|80,31367
56980548,"Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante, #2)",Benjamin Alire SÃ¡enz,"SÃ¡enz, Benjamin Alire",,153449619X,9781534496194,4,4.15,Simon  Schuster Books for Young Readers,Hardcover,516,2021,2021,,25/10/2022,,,read,,,,1,0,"2022-10-23,2022-10-25",Lgbtq|1071;Young Adult|1038;Romance|995;Lgbt|862;Ya|662;Contemporary|578;Physical Tbr|566;Fiction|436;Queer|403;Lgbtqia|400;Wishlist|286;Series|240;2021 Releases|214;Audiobooks|210;Read In 2022|197;Gay|171;Want To Buy|165;2022 Reads|152;Coming Of Age|152;Historical Fiction|139,65649
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire SÃ¡enz,"SÃ¡enz, Benjamin Alire",,1442408928,9781442408920,4,4.33,Simon & Schuster Books for Young Readers,Hardcover,390,2012,2012,,12/05/2019,,,read,,,,1,0,"2022-10-23,2022-10-23",Young Adult|8014;Lgbtq|5185;Lgbt|5085;Ya|5037;Romance|4771;Contemporary|4160;Fiction|3400;Queer|1993;Lgbtqia|1721;Physical Tbr|1265;Audiobooks|1256;Coming Of Age|1121;Realistic Fiction|961;Wishlist|892;Favs|824;5 Stars|752;Gay|662;Owned Books|577;Audio|550;Favoritos|545,520110
